Account__,Description__,CompanyCode__,Allocable1__,Allocable2__,Allocable3__,Allocable4__,Allocable5__,Group__,Manager__
1874,1799 Franchise Avail for Sale,6,,,,,,,
1874,1799 Franchise Avail for Sale,13,,,,,,,
1874,1799 Franchise Avail for Sale,17,,,,,,,
1342,1800 Other Current Assets,5,,,,,,,
1342,1800 Other Current Assets,14,,,,,,,
1342,1800 Other Current Assets,1,,,,,,,
1342,1800 Other Current Assets,6,,,,,,,
1342,1800 Other Current Assets,18,,,,,,,
1342,1800 Other Current Assets,3,,,,,,,
1342,1800 Other Current Assets,7,,,,,,,
1342,1800 Other Current Assets,11,,,,,,,
1342,1800 Other Current Assets,19,,,,,,,
1342,1800 Other Current Assets,13,,,,,,,
1342,1800 Other Current Assets,12,,,,,,,
1342,1800 Other Current Assets,17,,,,,,,
1342,1800 Other Current Assets,9,,,,,,,
1342,1800 Other Current Assets,2,,,,,,,
1343,1850 Deferred Income Tax Benefit,7,,,,,,,
1343,1850 Deferred Income Tax Benefit,18,,,,,,,
1343,1850 Deferred Income Tax Benefit,1,,,,,,,
1343,1850 Deferred Income Tax Benefit,19,,,,,,,
1343,1850 Deferred Income Tax Benefit,17,,,,,,,
1343,1850 Deferred Income Tax Benefit,2,,,,,,,
1343,1850 Deferred Income Tax Benefit,13,,,,,,,
1343,1850 Deferred Income Tax Benefit,12,,,,,,,
1343,1850 Deferred Income Tax Benefit,11,,,,,,,
1343,1850 Deferred Income Tax Benefit,5,,,,,,,
1343,1850 Deferred Income Tax Benefit,6,,,,,,,
1343,1850 Deferred Income Tax Benefit,9,,,,,,,
1343,1850 Deferred Income Tax Benefit,3,,,,,,,
1343,1850 Deferred Income Tax Benefit,14,,,,,,,
1344,1900 N/R - Current Portion,3,,,,,,,
1344,1900 N/R - Current Portion,6,,,,,,,
1344,1900 N/R - Current Portion,14,,,,,,,
1344,1900 N/R - Current Portion,17,,,,,,,
1344,1900 N/R - Current Portion,13,,,,,,,
1344,1900 N/R - Current Portion,1,,,,,,,
1344,1900 N/R - Current Portion,19,,,,,,,
1344,1900 N/R - Current Portion,11,,,,,,,
1344,1900 N/R - Current Portion,7,,,,,,,
1344,1900 N/R - Current Portion,9,,,,,,,
1344,1900 N/R - Current Portion,12,,,,,,,
1344,1900 N/R - Current Portion,18,,,,,,,
1344,1900 N/R - Current Portion,2,,,,,,,
1344,1900 N/R - Current Portion,5,,,,,,,
1345,1905 N/R - Tl Short Term Note,12,,,,,,,
1345,1905 N/R - Tl Short Term Note,18,,,,,,,
1345,1905 N/R - Tl Short Term Note,1,,,,,,,
1345,1905 N/R - Tl Short Term Note,9,,,,,,,
1345,1905 N/R - Tl Short Term Note,3,,,,,,,
1345,1905 N/R - Tl Short Term Note,2,,,,,,,
1345,1905 N/R - Tl Short Term Note,19,,,,,,,
1345,1905 N/R - Tl Short Term Note,14,,,,,,,
1345,1905 N/R - Tl Short Term Note,11,,,,,,,
1345,1905 N/R - Tl Short Term Note,7,,,,,,,
1345,1905 N/R - Tl Short Term Note,5,,,,,,,
1345,1905 N/R - Tl Short Term Note,13,,,,,,,
1345,1905 N/R - Tl Short Term Note,17,,,,,,,
1345,1905 N/R - Tl Short Term Note,6,,,,,,,
1346,1910 Allow-Doubtful Accts Nr Trade,13,,,,,,,
1346,1910 Allow-Doubtful Accts Nr Trade,11,,,,,,,
1346,1910 Allow-Doubtful Accts Nr Trade,17,,,,,,,
1346,1910 Allow-Doubtful Accts Nr Trade,9,,,,,,,
1346,1910 Allow-Doubtful Accts Nr Trade,18,,,,,,,
1346,1910 Allow-Doubtful Accts Nr Trade,7,,,,,,,
1346,1910 Allow-Doubtful Accts Nr Trade,3,,,,,,,
1346,1910 Allow-Doubtful Accts Nr Trade,1,,,,,,,
1346,1910 Allow-Doubtful Accts Nr Trade,14,,,,,,,
1346,1910 Allow-Doubtful Accts Nr Trade,12,,,,,,,
1346,1910 Allow-Doubtful Accts Nr Trade,6,,,,,,,
1346,1910 Allow-Doubtful Accts Nr Trade,19,,,,,,,
1346,1910 Allow-Doubtful Accts Nr Trade,5,,,,,,,
1346,1910 Allow-Doubtful Accts Nr Trade,2,,,,,,,
1347,1920 N/R - Employee Reloc Loans,9,,,,,,,
1347,1920 N/R - Employee Reloc Loans,2,,,,,,,
1347,1920 N/R - Employee Reloc Loans,13,,,,,,,
1347,1920 N/R - Employee Reloc Loans,3,,,,,,,
1347,1920 N/R - Employee Reloc Loans,6,,,,,,,
1347,1920 N/R - Employee Reloc Loans,12,,,,,,,
1347,1920 N/R - Employee Reloc Loans,1,,,,,,,
1347,1920 N/R - Employee Reloc Loans,11,,,,,,,
1347,1920 N/R - Employee Reloc Loans,5,,,,,,,
1347,1920 N/R - Employee Reloc Loans,18,,,,,,,
1347,1920 N/R - Employee Reloc Loans,7,,,,,,,
1347,1920 N/R - Employee Reloc Loans,19,,,,,,,
1347,1920 N/R - Employee Reloc Loans,17,,,,,,,
1347,1920 N/R - Employee Reloc Loans,14,,,,,,,
3220,201-01-000 PROVEEDORES : PROVEEDORES,1,,,,,,,
3220,201-01-000 PROVEEDORES : PROVEEDORES,13,,,,,,,
3220,201-01-000 PROVEEDORES : PROVEEDORES,12,,,,,,,
3221,201-01-001 PROVEEDORES : PROVEEDORES : GRACO INC,12,,,,,,,
3222,201-01-002 PROVEEDORES : PROVEEDORES : LANGEMAN,12,,,,,,,
3223,201-01-003 PROVEEDORES : PROVEEDORES : LINE-X LLC,12,,,,,,,
3224,201-01-004 PROVEEDORES : PROVEEDORES : POLY AMERICA,12,,,,,,,
4091,201-01-005 PROVEEDORES : PROVEEDORES : ULTIMATE LININGS LTD,12,,,,,,,
3225,201-01-006 PROVEEDORES : PROVEEDORES : GRACO COMPL,12,,,,,,,
3226,201-01-007 PROVEEDORES : PROVEEDORES : LANGEMAN COMPLEMENTO,12,,,,,,,
3227,201-01-008 PROVEEDORES : PROVEEDORES : LINE-X LLC COMPLEMENTO,12,,,,,,,
3228,201-01-009 PROVEEDORES : PROVEEDORES : POLY AMERICA COMPLEMENTO,12,,,,,,,
3229,201-01-010 PROVEEDORES : PROVEEDORES : ITASA,12,,,,,,,
3230,201-01-011 PROVEEDORES : PROVEEDORES : PINTURAS MARTINEZ,12,,,,,,,
3231,201-01-012 PROVEEDORES : PROVEEDORES : PROVEEDORES VARIOS,12,,,,,,,
4092,201-01-013 PROVEEDORES : PROVEEDORES : ULTIMATE LININGS LTD COMPLEMENTO,12,,,,,,,
4152,201-01-014 PROVEEDORES : PROVEEDORES : REFACCIONARIA ROGELIO SA DE CV,12,,,,,,,
4263,201-01-015 PROVEEDORES : PROVEEDORES : TRM MANUFACTURING,12,,,,,,,
4497,201-01-500 PROVEEDORES : PROVEEDORES : LINEX,13,,,,,,,
1348,2010 Leasehold Improvements,6,,,,,,,
1348,2010 Leasehold Improvements,13,,,,,,,
1348,2010 Leasehold Improvements,2,,,,,,,
1348,2010 Leasehold Improvements,12,,,,,,,
1348,2010 Leasehold Improvements,1,,,,,,,
1348,2010 Leasehold Improvements,19,,,,,,,
1348,2010 Leasehold Improvements,18,,,,,,,
1348,2010 Leasehold Improvements,9,,,,,,,
1348,2010 Leasehold Improvements,11,,,,,,,
1348,2010 Leasehold Improvements,14,,,,,,,
1348,2010 Leasehold Improvements,7,,,,,,,
1348,2010 Leasehold Improvements,5,,,,,,,
1348,2010 Leasehold Improvements,17,,,,,,,
1348,2010 Leasehold Improvements,3,,,,,,,
1349,2015 Computer and Software,7,,,,,,,
1349,2015 Computer and Software,2,,,,,,,
1349,2015 Computer and Software,5,,,,,,,
1349,2015 Computer and Software,6,,,,,,,
1349,2015 Computer and Software,1,,,,,,,
1349,2015 Computer and Software,9,,,,,,,
1349,2015 Computer and Software,12,,,,,,,
1349,2015 Computer and Software,17,,,,,,,
1349,2015 Computer and Software,18,,,,,,,
1349,2015 Computer and Software,14,,,,,,,
1349,2015 Computer and Software,3,,,,,,,
1349,2015 Computer and Software,19,,,,,,,
1349,2015 Computer and Software,13,,,,,,,
1349,2015 Computer and Software,11,,,,,,,
1350,2020 Equipment,5,,,,,,,
1350,2020 Equipment,19,,,,,,,
1350,2020 Equipment,12,,,,,,,
1350,2020 Equipment,14,,,,,,,
1350,2020 Equipment,18,,,,,,,
1350,2020 Equipment,2,,,,,,,
1350,2020 Equipment,3,,,,,,,
1350,2020 Equipment,6,,,,,,,
1350,2020 Equipment,7,,,,,,,
1350,2020 Equipment,9,,,,,,,
1350,2020 Equipment,17,,,,,,,
1350,2020 Equipment,1,,,,,,,
1350,2020 Equipment,11,,,,,,,
1350,2020 Equipment,13,,,,,,,
1351,2022 Furniture and Fixtures,9,,,,,,,
1351,2022 Furniture and Fixtures,6,,,,,,,
1351,2022 Furniture and Fixtures,5,,,,,,,
1351,2022 Furniture and Fixtures,19,,,,,,,
1351,2022 Furniture and Fixtures,14,,,,,,,
1351,2022 Furniture and Fixtures,11,,,,,,,
1351,2022 Furniture and Fixtures,12,,,,,,,
1351,2022 Furniture and Fixtures,13,,,,,,,
1351,2022 Furniture and Fixtures,7,,,,,,,
1351,2022 Furniture and Fixtures,17,,,,,,,
1351,2022 Furniture and Fixtures,3,,,,,,,
1351,2022 Furniture and Fixtures,2,,,,,,,
1351,2022 Furniture and Fixtures,18,,,,,,,
1351,2022 Furniture and Fixtures,1,,,,,,,
1352,2025 Test Equipment,6,,,,,,,
1352,2025 Test Equipment,9,,,,,,,
1352,2025 Test Equipment,14,,,,,,,
1352,2025 Test Equipment,7,,,,,,,
1352,2025 Test Equipment,18,,,,,,,
1352,2025 Test Equipment,3,,,,,,,
1352,2025 Test Equipment,12,,,,,,,
1352,2025 Test Equipment,17,,,,,,,
1352,2025 Test Equipment,2,,,,,,,
1352,2025 Test Equipment,1,,,,,,,
1352,2025 Test Equipment,13,,,,,,,
1352,2025 Test Equipment,19,,,,,,,
1352,2025 Test Equipment,11,,,,,,,
1352,2025 Test Equipment,5,,,,,,,
1353,2030 Vehicles,18,,,,,,,
1353,2030 Vehicles,1,,,,,,,
1353,2030 Vehicles,11,,,,,,,
1353,2030 Vehicles,9,,,,,,,
1353,2030 Vehicles,3,,,,,,,
1353,2030 Vehicles,5,,,,,,,
1353,2030 Vehicles,14,,,,,,,
1353,2030 Vehicles,19,,,,,,,
1353,2030 Vehicles,2,,,,,,,
1353,2030 Vehicles,7,,,,,,,
1353,2030 Vehicles,17,,,,,,,
1353,2030 Vehicles,6,,,,,,,
1353,2030 Vehicles,12,,,,,,,
1353,2030 Vehicles,13,,,,,,,
1354,2032 LX OC - PP&E,7,,,,,,,
1354,2032 LX OC - PP&E,1,,,,,,,
1354,2032 LX OC - PP&E,14,,,,,,,
1354,2032 LX OC - PP&E,6,,,,,,,
1354,2032 LX OC - PP&E,3,,,,,,,
1354,2032 LX OC - PP&E,17,,,,,,,
1354,2032 LX OC - PP&E,19,,,,,,,
1354,2032 LX OC - PP&E,2,,,,,,,
1354,2032 LX OC - PP&E,18,,,,,,,
1354,2032 LX OC - PP&E,12,,,,,,,
1354,2032 LX OC - PP&E,11,,,,,,,
1354,2032 LX OC - PP&E,9,,,,,,,
1354,2032 LX OC - PP&E,13,,,,,,,
1354,2032 LX OC - PP&E,5,,,,,,,
1355,2035 CIP - Used Equipment,14,,,,,,,
1355,2035 CIP - Used Equipment,2,,,,,,,
1355,2035 CIP - Used Equipment,9,,,,,,,
1355,2035 CIP - Used Equipment,19,,,,,,,
1355,2035 CIP - Used Equipment,6,,,,,,,
1355,2035 CIP - Used Equipment,12,,,,,,,
1355,2035 CIP - Used Equipment,7,,,,,,,
1355,2035 CIP - Used Equipment,5,,,,,,,
1355,2035 CIP - Used Equipment,1,,,,,,,
1355,2035 CIP - Used Equipment,11,,,,,,,
1355,2035 CIP - Used Equipment,3,,,,,,,
1355,2035 CIP - Used Equipment,18,,,,,,,
1355,2035 CIP - Used Equipment,17,,,,,,,
1355,2035 CIP - Used Equipment,13,,,,,,,
1356,2040 CIP - Special Projects,6,,,,,,,
1356,2040 CIP - Special Projects,1,,,,,,,
1356,2040 CIP - Special Projects,18,,,,,,,
1356,2040 CIP - Special Projects,2,,,,,,,
1356,2040 CIP - Special Projects,5,,,,,,,
1356,2040 CIP - Special Projects,7,,,,,,,
1356,2040 CIP - Special Projects,12,,,,,,,
1356,2040 CIP - Special Projects,17,,,,,,,
1356,2040 CIP - Special Projects,19,,,,,,,
1356,2040 CIP - Special Projects,13,,,,,,,
1356,2040 CIP - Special Projects,14,,,,,,,
1356,2040 CIP - Special Projects,3,,,,,,,
1356,2040 CIP - Special Projects,9,,,,,,,
1356,2040 CIP - Special Projects,11,,,,,,,
1883,2041 CIP - New HQ,1,,,,,,,
1883,2041 CIP - New HQ,19,,,,,,,
1883,2041 CIP - New HQ,3,,,,,,,
1883,2041 CIP - New HQ,5,,,,,,,
1883,2041 CIP - New HQ,6,,,,,,,
1883,2041 CIP - New HQ,9,,,,,,,
1883,2041 CIP - New HQ,11,,,,,,,
1883,2041 CIP - New HQ,13,,,,,,,
1883,2041 CIP - New HQ,12,,,,,,,
1883,2041 CIP - New HQ,14,,,,,,,
1883,2041 CIP - New HQ,17,,,,,,,
1883,2041 CIP - New HQ,18,,,,,,,
1883,2041 CIP - New HQ,2,,,,,,,
1883,2041 CIP - New HQ,7,,,,,,,
1847,2045 CIP - Vehicles,18,,,,,,,
1847,2045 CIP - Vehicles,14,,,,,,,
1847,2045 CIP - Vehicles,13,,,,,,,
1847,2045 CIP - Vehicles,6,,,,,,,
1847,2045 CIP - Vehicles,1,,,,,,,
1847,2045 CIP - Vehicles,9,,,,,,,
1847,2045 CIP - Vehicles,11,,,,,,,
1847,2045 CIP - Vehicles,2,,,,,,,
1847,2045 CIP - Vehicles,17,,,,,,,
1847,2045 CIP - Vehicles,3,,,,,,,
1847,2045 CIP - Vehicles,5,,,,,,,
1847,2045 CIP - Vehicles,12,,,,,,,
1847,2045 CIP - Vehicles,19,,,,,,,
1847,2045 CIP - Vehicles,7,,,,,,,
4093,205-01-000 ACREEDORES DIVERSOS : ACREEDORES DIV,12,,,,,,,
4093,205-01-000 ACREEDORES DIVERSOS : ACREEDORES DIV,13,,,,,,,
3199,205-01-001 ACREEDORES DIVERSOS : ACREEDORES DIV : TARJETA DE CREDITO OSCAR ALDAPE,12,,,,,,,
3200,205-01-002 ACREEDORES DIVERSOS : ACREEDORES DIV : ACREEDORES DIVERSOS,12,,,,,,,
3201,205-01-003 ACREEDORES DIVERSOS : ACREEDORES DIV : ADRIAN VERA LOZANO,12,,,,,,,
3202,205-01-004 ACREEDORES DIVERSOS : ACREEDORES DIV : ANTICIPOS,12,,,,,,,
3203,205-01-005 ACREEDORES DIVERSOS : ACREEDORES DIV : AT&T COMUNICACIONES,12,,,,,,,
3204,205-01-006 ACREEDORES DIVERSOS : ACREEDORES DIV : CAJA CHICA CORP.,12,,,,,,,
3205,205-01-007 ACREEDORES DIVERSOS : ACREEDORES DIV : CAJA CHICA TIENDA,12,,,,,,,
3206,205-01-008 ACREEDORES DIVERSOS : ACREEDORES DIV : EBENEZER PAPELERA,12,,,,,,,
3207,205-01-009 ACREEDORES DIVERSOS : ACREEDORES DIV : ENLACES COMERCIALES,12,,,,,,,
3208,205-01-010 ACREEDORES DIVERSOS : ACREEDORES DIV : GEN INDUSTRIAL,12,,,,,,,
3209,205-01-011 ACREEDORES DIVERSOS : ACREEDORES DIV : GUILLERMO VILLEGAS,12,,,,,,,
3210,205-01-012 ACREEDORES DIVERSOS : ACREEDORES DIV : ITASA,12,,,,,,,
3211,205-01-013 ACREEDORES DIVERSOS : ACREEDORES DIV : LEVISA,12,,,,,,,
3212,205-01-014 ACREEDORES DIVERSOS : ACREEDORES DIV : MASTER FORMAS,12,,,,,,,
3213,205-01-015 ACREEDORES DIVERSOS : ACREEDORES DIV : MAXI-CLEAN SA DE CV,12,,,,,,,
3214,205-01-016 ACREEDORES DIVERSOS : ACREEDORES DIV : MORALES RENDON SA DE CV,12,,,,,,,
3215,205-01-017 ACREEDORES DIVERSOS : ACREEDORES DIV : PINTURAS MTZ,12,,,,,,,
3216,205-01-018 ACREEDORES DIVERSOS : ACREEDORES DIV : RECOLECCIONES ECOLOGICAS SA DE CV,12,,,,,,,
3217,205-01-019 ACREEDORES DIVERSOS : ACREEDORES DIV : RPL SERVICIOS,12,,,,,,,
3218,205-01-020 ACREEDORES DIVERSOS : ACREEDORES DIV : TC OSCAR ALDAPE,12,,,,,,,
3219,205-01-021 ACREEDORES DIVERSOS : ACREEDORES DIV : TPS,12,,,,,,,
4094,205-01-022 ACREEDORES DIVERSOS : ACREEDORES DIV : ALVARO GUERVARA,12,,,,,,,
4645,205-01-023 ACREEDORES DIVERSOS : ACREEDORES DIV : VALOR MOTRIZ S DE RL DE CV,12,,,,,,,
4651,205-01-024 ACREEDORES DIVERSOS : ACREEDORES DIV : REPORTERO INDUSTRIAL MEXICANO SA DE CV,12,,,,,,,
4656,205-01-025 ACREEDORES DIVERSOS : ACREEDORES DIV : PROYECTOS Y SERVICIOS GAMOUR SA DE CV,12,,,,,,,
4668,205-01-026 ACREEDORES DIVERSOS : ACREEDORES DIV : ZURICH COMPAÑIA DE SEGUROS  SA,12,,,,,,,
4498,205-01-500 ACREEDORES DIVERSOS : ACREEDORES DIV : LINEX OPERADORA,13,,,,,,,
4499,205-01-501 ACREEDORES DIVERSOS : ACREEDORES DIV : NOMINA,13,,,,,,,
1357,2050 CIP - TRUCK GEAR E-COMMERCE,11,,,,,,,
1357,2050 CIP - TRUCK GEAR E-COMMERCE,19,,,,,,,
1357,2050 CIP - TRUCK GEAR E-COMMERCE,5,,,,,,,
1357,2050 CIP - TRUCK GEAR E-COMMERCE,3,,,,,,,
1357,2050 CIP - TRUCK GEAR E-COMMERCE,2,,,,,,,
1357,2050 CIP - TRUCK GEAR E-COMMERCE,17,,,,,,,
1357,2050 CIP - TRUCK GEAR E-COMMERCE,12,,,,,,,
1357,2050 CIP - TRUCK GEAR E-COMMERCE,1,,,,,,,
1357,2050 CIP - TRUCK GEAR E-COMMERCE,7,,,,,,,
1357,2050 CIP - TRUCK GEAR E-COMMERCE,6,,,,,,,
1357,2050 CIP - TRUCK GEAR E-COMMERCE,9,,,,,,,
1357,2050 CIP - TRUCK GEAR E-COMMERCE,14,,,,,,,
1357,2050 CIP - TRUCK GEAR E-COMMERCE,13,,,,,,,
1357,2050 CIP - TRUCK GEAR E-COMMERCE,18,,,,,,,
1358,2100 Accum Depr - Leasehold Improv,13,,,,,,,
1358,2100 Accum Depr - Leasehold Improv,2,,,,,,,
1358,2100 Accum Depr - Leasehold Improv,5,,,,,,,
1358,2100 Accum Depr - Leasehold Improv,6,,,,,,,
1358,2100 Accum Depr - Leasehold Improv,3,,,,,,,
1358,2100 Accum Depr - Leasehold Improv,7,,,,,,,
1358,2100 Accum Depr - Leasehold Improv,9,,,,,,,
1358,2100 Accum Depr - Leasehold Improv,14,,,,,,,
1358,2100 Accum Depr - Leasehold Improv,12,,,,,,,
1358,2100 Accum Depr - Leasehold Improv,1,,,,,,,
1358,2100 Accum Depr - Leasehold Improv,17,,,,,,,
1358,2100 Accum Depr - Leasehold Improv,19,,,,,,,
1358,2100 Accum Depr - Leasehold Improv,18,,,,,,,
1358,2100 Accum Depr - Leasehold Improv,11,,,,,,,
1359,2105 Acc Amor - Leasehold Interest,19,,,,,,,
1359,2105 Acc Amor - Leasehold Interest,11,,,,,,,
1359,2105 Acc Amor - Leasehold Interest,12,,,,,,,
1359,2105 Acc Amor - Leasehold Interest,17,,,,,,,
1359,2105 Acc Amor - Leasehold Interest,7,,,,,,,
1359,2105 Acc Amor - Leasehold Interest,1,,,,,,,
1359,2105 Acc Amor - Leasehold Interest,18,,,,,,,
1359,2105 Acc Amor - Leasehold Interest,5,,,,,,,
1359,2105 Acc Amor - Leasehold Interest,3,,,,,,,
1359,2105 Acc Amor - Leasehold Interest,2,,,,,,,
1359,2105 Acc Amor - Leasehold Interest,13,,,,,,,
1359,2105 Acc Amor - Leasehold Interest,6,,,,,,,
1359,2105 Acc Amor - Leasehold Interest,14,,,,,,,
1359,2105 Acc Amor - Leasehold Interest,9,,,,,,,
1360,2110 Accum Depr - Manual Estimate,12,,,,,,,
1360,2110 Accum Depr - Manual Estimate,14,,,,,,,
1360,2110 Accum Depr - Manual Estimate,2,,,,,,,
1360,2110 Accum Depr - Manual Estimate,11,,,,,,,
1360,2110 Accum Depr - Manual Estimate,17,,,,,,,
1360,2110 Accum Depr - Manual Estimate,7,,,,,,,
1360,2110 Accum Depr - Manual Estimate,5,,,,,,,
1360,2110 Accum Depr - Manual Estimate,18,,,,,,,
1360,2110 Accum Depr - Manual Estimate,3,,,,,,,
1360,2110 Accum Depr - Manual Estimate,13,,,,,,,
1360,2110 Accum Depr - Manual Estimate,9,,,,,,,
1360,2110 Accum Depr - Manual Estimate,1,,,,,,,
1360,2110 Accum Depr - Manual Estimate,19,,,,,,,
1360,2110 Accum Depr - Manual Estimate,6,,,,,,,
1361,2115 Accum. Dep - Computer & Software,12,,,,,,,
1361,2115 Accum. Dep - Computer & Software,6,,,,,,,
1361,2115 Accum. Dep - Computer & Software,17,,,,,,,
1361,2115 Accum. Dep - Computer & Software,13,,,,,,,
1361,2115 Accum. Dep - Computer & Software,5,,,,,,,
1361,2115 Accum. Dep - Computer & Software,18,,,,,,,
1361,2115 Accum. Dep - Computer & Software,1,,,,,,,
1361,2115 Accum. Dep - Computer & Software,19,,,,,,,
1361,2115 Accum. Dep - Computer & Software,9,,,,,,,
1361,2115 Accum. Dep - Computer & Software,11,,,,,,,
1361,2115 Accum. Dep - Computer & Software,2,,,,,,,
1361,2115 Accum. Dep - Computer & Software,3,,,,,,,
1361,2115 Accum. Dep - Computer & Software,7,,,,,,,
1361,2115 Accum. Dep - Computer & Software,14,,,,,,,
1362,2120 Acc Depr - Equipment,7,,,,,,,
1362,2120 Acc Depr - Equipment,3,,,,,,,
1362,2120 Acc Depr - Equipment,14,,,,,,,
1362,2120 Acc Depr - Equipment,6,,,,,,,
1362,2120 Acc Depr - Equipment,13,,,,,,,
1362,2120 Acc Depr - Equipment,18,,,,,,,
1362,2120 Acc Depr - Equipment,1,,,,,,,
1362,2120 Acc Depr - Equipment,5,,,,,,,
1362,2120 Acc Depr - Equipment,9,,,,,,,
1362,2120 Acc Depr - Equipment,11,,,,,,,
1362,2120 Acc Depr - Equipment,19,,,,,,,
1362,2120 Acc Depr - Equipment,2,,,,,,,
1362,2120 Acc Depr - Equipment,17,,,,,,,
1362,2120 Acc Depr - Equipment,12,,,,,,,
1363,2122 Accum Depr - Furniture & Fixtures,12,,,,,,,
1363,2122 Accum Depr - Furniture & Fixtures,7,,,,,,,
1363,2122 Accum Depr - Furniture & Fixtures,3,,,,,,,
1363,2122 Accum Depr - Furniture & Fixtures,13,,,,,,,
1363,2122 Accum Depr - Furniture & Fixtures,17,,,,,,,
1363,2122 Accum Depr - Furniture & Fixtures,14,,,,,,,
1363,2122 Accum Depr - Furniture & Fixtures,18,,,,,,,
1363,2122 Accum Depr - Furniture & Fixtures,5,,,,,,,
1363,2122 Accum Depr - Furniture & Fixtures,1,,,,,,,
1363,2122 Accum Depr - Furniture & Fixtures,19,,,,,,,
1363,2122 Accum Depr - Furniture & Fixtures,6,,,,,,,
1363,2122 Accum Depr - Furniture & Fixtures,2,,,,,,,
1363,2122 Accum Depr - Furniture & Fixtures,9,,,,,,,
1363,2122 Accum Depr - Furniture & Fixtures,11,,,,,,,
1364,2125 Acc Depr - Test Equip,11,,,,,,,
1364,2125 Acc Depr - Test Equip,1,,,,,,,
1364,2125 Acc Depr - Test Equip,7,,,,,,,
1364,2125 Acc Depr - Test Equip,2,,,,,,,
1364,2125 Acc Depr - Test Equip,19,,,,,,,
1364,2125 Acc Depr - Test Equip,18,,,,,,,
1364,2125 Acc Depr - Test Equip,13,,,,,,,
1364,2125 Acc Depr - Test Equip,9,,,,,,,
1364,2125 Acc Depr - Test Equip,6,,,,,,,
1364,2125 Acc Depr - Test Equip,5,,,,,,,
1364,2125 Acc Depr - Test Equip,3,,,,,,,
1364,2125 Acc Depr - Test Equip,14,,,,,,,
1364,2125 Acc Depr - Test Equip,17,,,,,,,
1364,2125 Acc Depr - Test Equip,12,,,,,,,
2778,213-00-000 IMPUESTOS POR PAGAR,1,,,,,,,
2778,213-00-000 IMPUESTOS POR PAGAR,12,,,,,,,
2778,213-00-000 IMPUESTOS POR PAGAR,13,,,,,,,
3232,213-00-001 IMPUESTOS POR PAGAR : 10% ISR ARRENDAMIENTO,13,,,,,,,
3232,213-00-001 IMPUESTOS POR PAGAR : 10% ISR ARRENDAMIENTO,1,,,,,,,
3232,213-00-001 IMPUESTOS POR PAGAR : 10% ISR ARRENDAMIENTO,12,,,,,,,
3233,213-00-002 IMPUESTOS POR PAGAR : IVA POR PAGAR,12,,,,,,,
3233,213-00-002 IMPUESTOS POR PAGAR : IVA POR PAGAR,1,,,,,,,
3233,213-00-002 IMPUESTOS POR PAGAR : IVA POR PAGAR,13,,,,,,,
3234,213-00-004 IMPUESTOS POR PAGAR : IMSS,13,,,,,,,
3234,213-00-004 IMPUESTOS POR PAGAR : IMSS,1,,,,,,,
3234,213-00-004 IMPUESTOS POR PAGAR : IMSS,12,,,,,,,
3235,213-00-005 IMPUESTOS POR PAGAR : ISPT,12,,,,,,,
3235,213-00-005 IMPUESTOS POR PAGAR : ISPT,13,,,,,,,
3235,213-00-005 IMPUESTOS POR PAGAR : ISPT,1,,,,,,,
3236,213-00-006 IMPUESTOS POR PAGAR : IVA A FAVOR,12,,,,,,,
3236,213-00-006 IMPUESTOS POR PAGAR : IVA A FAVOR,1,,,,,,,
3236,213-00-006 IMPUESTOS POR PAGAR : IVA A FAVOR,13,,,,,,,
3237,213-00-007 IMPUESTOS POR PAGAR : IVA EGRESOS POR PAGAR,12,,,,,,,
3237,213-00-007 IMPUESTOS POR PAGAR : IVA EGRESOS POR PAGAR,1,,,,,,,
3237,213-00-007 IMPUESTOS POR PAGAR : IVA EGRESOS POR PAGAR,13,,,,,,,
3238,213-00-008 IMPUESTOS POR PAGAR : IVA POR ACREDITAR,13,,,,,,,
3238,213-00-008 IMPUESTOS POR PAGAR : IVA POR ACREDITAR,1,,,,,,,
3238,213-00-008 IMPUESTOS POR PAGAR : IVA POR ACREDITAR,12,,,,,,,
3239,213-00-009 IMPUESTOS POR PAGAR : RETENCIONES IVA,13,,,,,,,
3239,213-00-009 IMPUESTOS POR PAGAR : RETENCIONES IVA,12,,,,,,,
3239,213-00-009 IMPUESTOS POR PAGAR : RETENCIONES IVA,1,,,,,,,
4535,213-00-010 IMPUESTOS POR PAGAR : INFONAVIT,13,,,,,,,
1365,2130 Accum Depr - Vehicles,14,,,,,,,
1365,2130 Accum Depr - Vehicles,1,,,,,,,
1365,2130 Accum Depr - Vehicles,13,,,,,,,
1365,2130 Accum Depr - Vehicles,11,,,,,,,
1365,2130 Accum Depr - Vehicles,6,,,,,,,
1365,2130 Accum Depr - Vehicles,17,,,,,,,
1365,2130 Accum Depr - Vehicles,19,,,,,,,
1365,2130 Accum Depr - Vehicles,18,,,,,,,
1365,2130 Accum Depr - Vehicles,5,,,,,,,
1365,2130 Accum Depr - Vehicles,9,,,,,,,
1365,2130 Accum Depr - Vehicles,2,,,,,,,
1365,2130 Accum Depr - Vehicles,7,,,,,,,
1365,2130 Accum Depr - Vehicles,3,,,,,,,
1365,2130 Accum Depr - Vehicles,12,,,,,,,
1366,2132 Accum. Depr - LX OC,11,,,,,,,
1366,2132 Accum. Depr - LX OC,1,,,,,,,
1366,2132 Accum. Depr - LX OC,12,,,,,,,
1366,2132 Accum. Depr - LX OC,6,,,,,,,
